Synthetic FDTR: 77nm Au on Si, spot=3.0um  R normalized at 5e+04 Hz
Frequency (Hz)	R (normalized)	Theta (degree)
5.0000000e+04	1.0000000e+00	-3.2366707e+00
5.3939569e+04	9.9771272e-01	-3.3570373e+00
5.8189542e+04	9.9533131e-01	-3.4813438e+00
6.2774377e+04	9.9285467e-01	-3.6095246e+00
6.7720457e+04	9.9028239e-01	-3.7415548e+00
7.3056245e+04	9.8761451e-01	-3.8774610e+00
7.8812447e+04	9.8485122e-01	-4.0173270e+00
8.5022189e+04	9.8199248e-01	-4.1612935e+00
9.1721205e+04	9.7903780e-01	-4.3095508e+00
9.8948045e+04	9.7598594e-01	-4.4623273e+00
1.0674430e+05	9.7283484e-01	-4.6198733e+00
1.1515483e+05	9.6958153e-01	-4.7824433e+00
1.2422804e+05	9.6622224e-01	-4.9502798e+00
1.3401614e+05	9.6275254e-01	-5.1235981e+00
1.4457545e+05	9.5916759e-01	-5.3025768e+00
1.5596675e+05	9.5546242e-01	-5.4873528e+00
1.6825559e+05	9.5163216e-01	-5.6780233e+00
1.8151268e+05	9.4767227e-01	-5.8746518e+00
1.9581431e+05	9.4357872e-01	-6.0772791e+00
2.1124279e+05	9.3934800e-01	-6.2859357e+00
2.2788690e+05	9.3497711e-01	-6.5006541e+00
2.4584243e+05	9.3046349e-01	-6.7214789e+00
2.6521269e+05	9.2580479e-01	-6.9484728e+00
2.8610917e+05	9.2099877e-01	-7.1817179e+00
3.0865210e+05	9.1604309e-01	-7.4213116e+00
3.3297123e+05	9.1093526e-01	-7.6673598e+00
3.5920649e+05	9.0567257e-01	-7.9199673e+00
3.8750887e+05	9.0025217e-01	-8.1792286e+00
4.1804123e+05	8.9467110e-01	-8.4452207e+00
4.5097927e+05	8.8892647e-01	-8.7179981e+00
4.8651255e+05	8.8301559e-01	-8.9975922e+00
5.2484555e+05	8.7693605e-01	-9.2840135e+00
5.6619886e+05	8.7068579e-01	-9.5772556e+00
6.1081045e+05	8.6426316e-01	-9.8772997e+00
6.5893705e+05	8.5766689e-01	-1.0184118e+01
7.1085561e+05	8.5089607e-01	-1.0497678e+01
7.6686490e+05	8.4395009e-01	-1.0817937e+01
8.2728725e+05	8.3682867e-01	-1.1144846e+01
8.9247035e+05	8.2953184e-01	-1.1478345e+01
9.6278932e+05	8.2205998e-01	-1.1818358e+01
1.0386488e+06	8.1441387e-01	-1.2164795e+01
1.1204854e+06	8.0659476e-01	-1.2517549e+01
1.2087700e+06	7.9860441e-01	-1.2876501e+01
1.3040107e+06	7.9044514e-01	-1.3241516e+01
1.4067555e+06	7.8211981e-01	-1.3612452e+01
1.5175957e+06	7.7363192e-01	-1.3989160e+01
1.6371691e+06	7.6498551e-01	-1.4371487e+01
1.7661639e+06	7.5618525e-01	-1.4759277e+01
1.9053224e+06	7.4723642e-01	-1.5152375e+01
2.0554454e+06	7.3814489e-01	-1.5550630e+01
2.2173968e+06	7.2891716e-01	-1.5953902e+01
2.3921086e+06	7.1956034e-01	-1.6362060e+01
2.5805861e+06	7.1008213e-01	-1.6774997e+01
2.7839140e+06	7.0049083e-01	-1.7192630e+01
3.0032625e+06	6.9079525e-01	-1.7614911e+01
3.2398937e+06	6.8100472e-01	-1.8041832e+01
3.4951694e+06	6.7112898e-01	-1.8473440e+01
3.7705586e+06	6.6117816e-01	-1.8909837e+01
4.0676461e+06	6.5116267e-01	-1.9351201e+01
4.3881416e+06	6.4109314e-01	-1.9797786e+01
4.7338893e+06	6.3098025e-01	-2.0249943e+01
5.1068790e+06	6.2083470e-01	-2.0708124e+01
5.5092570e+06	6.1066701e-01	-2.1172897e+01
5.9433390e+06	6.0048744e-01	-2.1644955e+01
6.4116229e+06	5.9030579e-01	-2.2125130e+01
6.9168035e+06	5.8013127e-01	-2.2614399e+01
7.4617880e+06	5.6997232e-01	-2.3113895e+01
8.0497126e+06	5.5983647e-01	-2.3624913e+01
8.6839606e+06	5.4973017e-01	-2.4148915e+01
9.3681819e+06	5.3965860e-01	-2.4687530e+01
1.0106314e+07	5.2962554e-01	-2.5242557e+01
1.0902604e+07	5.1963321e-01	-2.5815956e+01
1.1761636e+07	5.0968218e-01	-2.6409840e+01
1.2688351e+07	4.9977120e-01	-2.7026466e+01
1.3688084e+07	4.8989720e-01	-2.7668207e+01
1.4766587e+07	4.8005517e-01	-2.8337537e+01
1.5930067e+07	4.7023820e-01	-2.9036994e+01
1.7185219e+07	4.6043752e-01	-2.9769145e+01
1.8539266e+07	4.5064255e-01	-3.0536545e+01
2.0000000e+07	4.4084112e-01	-3.1341685e+01
