Synthetic FDTR: 75nm Au on graphite, spot=10.0um  R normalized at 5e+04 Hz
Frequency (Hz)	R (normalized)	Theta (degree)
5.0000000e+04	1.0000000e+00	-3.6899753e+00
5.3939569e+04	9.9761358e-01	-3.8378500e+00
5.8189542e+04	9.9512753e-01	-3.9926421e+00
6.2774377e+04	9.9253443e-01	-4.1544090e+00
6.7720457e+04	9.8982787e-01	-4.3231634e+00
7.3056245e+04	9.8700264e-01	-4.4988931e+00
7.8812447e+04	9.8405478e-01	-4.6815837e+00
8.5022189e+04	9.8098161e-01	-4.8712432e+00
9.1721205e+04	9.7778148e-01	-5.0679250e+00
9.8948045e+04	9.7445358e-01	-5.2717468e+00
1.0674430e+05	9.7099746e-01	-5.4829043e+00
1.1515483e+05	9.6741269e-01	-5.7016763e+00
1.2422804e+05	9.6369839e-01	-5.9284223e+00
1.3401614e+05	9.5985290e-01	-6.1635715e+00
1.4457545e+05	9.5587348e-01	-6.4076049e+00
1.5596675e+05	9.5175619e-01	-6.6610340e+00
1.6825559e+05	9.4749591e-01	-6.9243770e+00
1.8151268e+05	9.4308645e-01	-7.1981377e+00
1.9581431e+05	9.3852084e-01	-7.4827881e+00
2.1124279e+05	9.3379165e-01	-7.7787578e+00
2.2788690e+05	9.2889134e-01	-8.0864313e+00
2.4584243e+05	9.2381260e-01	-8.4061532e+00
2.6521269e+05	9.1854859e-01	-8.7382402e+00
2.8610917e+05	9.1309308e-01	-9.0829971e+00
3.0865210e+05	9.0744049e-01	-9.4407347e+00
3.3297123e+05	9.0158577e-01	-9.8117859e+00
3.5920649e+05	8.9552421e-01	-1.0196517e+01
3.8750887e+05	8.8925122e-01	-1.0595333e+01
4.1804123e+05	8.8276209e-01	-1.1008675e+01
4.5097927e+05	8.7605184e-01	-1.1437013e+01
4.8651255e+05	8.6911511e-01	-1.1880832e+01
5.2484555e+05	8.6194618e-01	-1.2340618e+01
5.6619886e+05	8.5453910e-01	-1.2816847e+01
6.1081045e+05	8.4688783e-01	-1.3309975e+01
6.5893705e+05	8.3898643e-01	-1.3820434e+01
7.1085561e+05	8.3082923e-01	-1.4348633e+01
7.6686490e+05	8.2241095e-01	-1.4894961e+01
8.2728725e+05	8.1372676e-01	-1.5459792e+01
8.9247035e+05	8.0477230e-01	-1.6043490e+01
9.6278932e+05	7.9554363e-01	-1.6646409e+01
1.0386488e+06	7.8603720e-01	-1.7268892e+01
1.1204854e+06	7.7624989e-01	-1.7911263e+01
1.2087700e+06	7.6617895e-01	-1.8573821e+01
1.3040107e+06	7.5582216e-01	-1.9256831e+01
1.4067555e+06	7.4517788e-01	-1.9960516e+01
1.5175957e+06	7.3424518e-01	-2.0685052e+01
1.6371691e+06	7.2302395e-01	-2.1430562e+01
1.7661639e+06	7.1151500e-01	-2.2197113e+01
1.9053224e+06	6.9972014e-01	-2.2984713e+01
2.0554454e+06	6.8764225e-01	-2.3793303e+01
2.2173968e+06	6.7528537e-01	-2.4622757e+01
2.3921086e+06	6.6265473e-01	-2.5472867e+01
2.5805861e+06	6.4975688e-01	-2.6343343e+01
2.7839140e+06	6.3659976e-01	-2.7233802e+01
3.0032625e+06	6.2319278e-01	-2.8143761e+01
3.2398937e+06	6.0954691e-01	-2.9072636e+01
3.4951694e+06	5.9567475e-01	-3.0019730e+01
3.7705586e+06	5.8159059e-01	-3.0984232e+01
4.0676461e+06	5.6731041e-01	-3.1965215e+01
4.3881416e+06	5.5285195e-01	-3.2961633e+01
4.7338893e+06	5.3823471e-01	-3.3972315e+01
5.1068790e+06	5.2347987e-01	-3.4995974e+01
5.5092570e+06	5.0861033e-01	-3.6031203e+01
5.9433390e+06	4.9365055e-01	-3.7076484e+01
6.4116229e+06	4.7862650e-01	-3.8130195e+01
6.9168035e+06	4.6356548e-01	-3.9190621e+01
7.4617880e+06	4.4849595e-01	-4.0255971e+01
8.0497126e+06	4.3344730e-01	-4.1324390e+01
8.6839606e+06	4.1844962e-01	-4.2393987e+01
9.3681819e+06	4.0353337e-01	-4.3462854e+01
1.0106314e+07	3.8872912e-01	-4.4529093e+01
1.0902604e+07	3.7406716e-01	-4.5590847e+01
1.1761636e+07	3.5957716e-01	-4.6646327e+01
1.2688351e+07	3.4528785e-01	-4.7693845e+01
1.3688084e+07	3.3122661e-01	-4.8731839e+01
1.4766587e+07	3.1741917e-01	-4.9758904e+01
1.5930067e+07	3.0388931e-01	-5.0773809e+01
1.7185219e+07	2.9065857e-01	-5.1775522e+01
1.8539266e+07	2.7774607e-01	-5.2763215e+01
2.0000000e+07	2.6516834e-01	-5.3736271e+01
