21-Sep-2023 18:8:32 PM  Sample temp: 296 K  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	7.4799265e-01	-1.2725301e+00
6.3852298e+04	7.4728462e-01	-1.3108262e+00
7.2157221e+04	7.4519699e-01	-1.3779945e+00
8.1542320e+04	7.4373135e-01	-1.4581315e+00
9.2148088e+04	7.4163810e-01	-1.5522527e+00
1.0413329e+05	7.4196116e-01	-1.6267076e+00
1.1767734e+05	7.3932023e-01	-1.7309338e+00
1.3298300e+05	7.3777599e-01	-1.8259892e+00
1.5027938e+05	7.3416086e-01	-1.9434410e+00
1.6982540e+05	7.3142286e-01	-2.0443385e+00
1.9191367e+05	7.3150519e-01	-2.1603802e+00
2.1687485e+05	7.3135593e-01	-2.3575231e+00
2.4508258e+05	7.2942231e-01	-2.4537765e+00
2.7695915e+05	7.2707315e-01	-2.6201336e+00
3.1298173e+05	7.2646894e-01	-2.8296978e+00
3.5368956e+05	7.2301599e-01	-3.0415147e+00
3.9969205e+05	7.1988741e-01	-3.1956043e+00
4.5167783e+05	7.1829721e-01	-3.4686689e+00
5.1042512e+05	7.1775150e-01	-3.7192623e+00
5.7681335e+05	7.1493011e-01	-3.9968802e+00
6.5183634e+05	7.1347807e-01	-4.2920489e+00
7.3661717e+05	7.1066774e-01	-4.6061905e+00
8.3242498e+05	7.0903375e-01	-4.9894602e+00
9.4069399e+05	7.0291632e-01	-5.3787442e+00
1.0630450e+06	6.9767754e-01	-5.8377688e+00
1.2013095e+06	6.9237893e-01	-6.2514289e+00
1.3575573e+06	6.8734778e-01	-6.7441680e+00
1.5341274e+06	6.8581412e-01	-7.3105026e+00
1.7336631e+06	6.8241564e-01	-7.8741445e+00
1.9591512e+06	6.7644574e-01	-8.5336446e+00
2.2139674e+06	6.7199993e-01	-9.2393469e+00
2.5019262e+06	6.6714220e-01	-9.9939078e+00
2.8273382e+06	6.6093918e-01	-1.0790611e+01
3.1950747e+06	6.5501145e-01	-1.1732041e+01
3.6106408e+06	6.4860329e-01	-1.2632419e+01
4.0802573e+06	6.4346207e-01	-1.3639701e+01
4.6109543e+06	6.3580447e-01	-1.4845785e+01
5.2106761e+06	6.2310567e-01	-1.6158332e+01
5.8884005e+06	6.1311746e-01	-1.7414225e+01
6.6542729e+06	6.0441449e-01	-1.8703315e+01
7.5197582e+06	5.9278958e-01	-2.0201787e+01
8.4978124e+06	5.7931872e-01	-2.1774008e+01
9.6030769e+06	5.6682466e-01	-2.3504220e+01
1.0852097e+07	5.5215432e-01	-2.5277387e+01
1.2263571e+07	5.3780218e-01	-2.7224315e+01
1.3858627e+07	5.2237160e-01	-2.9215659e+01
1.5661143e+07	5.0604876e-01	-3.1241393e+01
1.7698103e+07	4.8718427e-01	-3.3488130e+01
2.0000000e+07	4.6802141e-01	-3.5997013e+01
