21-Sep-2023 20:39:58 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-1.4995495e+01	2.6683347e-02	-7.1930354e+01	1.9091910e-02	-9.1017838e+01	1.3298078e-02	-1.1817774e+02	7.8341308e-03	-1.4323928e+02	3.5780597e-03	-1.1447393e+00	2.5904202e-03	-1.0463515e+02
-1.4695495e+01	2.7604374e-02	-7.1079856e+01	2.0069601e-02	-8.9669972e+01	1.3136543e-02	-1.1461536e+02	8.2589783e-03	-1.4480085e+02	4.2022812e-03	-9.1762958e+00	1.1591169e-03	-7.9497538e+01
-1.4395495e+01	2.8600135e-02	-6.9747192e+01	2.0761527e-02	-8.8741505e+01	1.4355037e-02	-1.1417138e+02	8.1227390e-03	-1.4294564e+02	3.7484255e-03	-1.7504498e+02	2.8749639e-03	-9.5891401e+01
-1.4095495e+01	2.9157373e-02	-6.7990374e+01	2.1598919e-02	-8.7019152e+01	1.4219513e-02	-1.1219574e+02	9.1137652e-03	-1.3824216e+02	4.9696592e-03	-1.7710459e+02	1.9755011e-03	-4.8918269e+01
-1.3795495e+01	3.1101048e-02	-6.6466243e+01	2.3096095e-02	-8.4581062e+01	1.6191575e-02	-1.0785722e+02	9.5383636e-03	-1.3398180e+02	5.1591925e-03	-1.7760793e+02	4.3663250e-04	-4.4971218e+01
-1.3495495e+01	3.2302534e-02	-6.5518733e+01	2.4169575e-02	-8.3493362e+01	1.6690860e-02	-1.0559800e+02	9.9096141e-03	-1.3462796e+02	5.8171490e-03	-1.6960312e+02	1.4517859e-03	-1.1284666e+02
-1.3195495e+01	3.3935783e-02	-6.3027465e+01	2.6213369e-02	-8.1209228e+01	1.8033684e-02	-1.0534674e+02	1.0335903e-02	-1.3236526e+02	6.6185108e-03	-1.7614925e+02	2.4360488e-03	-1.4765188e+02
-1.2895495e+01	3.6205268e-02	-6.2426793e+01	2.7243074e-02	-7.9540765e+01	1.9104567e-02	-9.9923616e+01	1.2235544e-02	-1.2877277e+02	6.4563579e-03	-1.7155529e+02	7.9823642e-04	-1.6264627e+00
-1.2595495e+01	3.7610333e-02	-6.1955846e+01	2.8336231e-02	-7.8300606e+01	1.9600280e-02	-9.7986132e+01	1.2282873e-02	-1.2747988e+02	7.5705249e-03	-1.5965180e+02	1.1225709e-03	-1.2704852e+02
-1.2295495e+01	3.9215346e-02	-5.9636554e+01	3.0139817e-02	-7.6035351e+01	2.0472258e-02	-9.8547210e+01	1.3851250e-02	-1.2048206e+02	7.8945150e-03	-1.5363358e+02	5.1582155e-04	1.9194445e+01
-1.1995495e+01	4.1653843e-02	-5.7971938e+01	3.2220592e-02	-7.3672252e+01	2.2011128e-02	-9.5013343e+01	1.5576829e-02	-1.1908844e+02	8.5417687e-03	-1.5420559e+02	5.0173843e-04	-3.1516887e+01
-1.1695495e+01	4.2185352e-02	-5.8072079e+01	3.2719696e-02	-7.3596065e+01	2.3572396e-02	-9.1917888e+01	1.5389345e-02	-1.1940769e+02	8.3813872e-03	-1.4901144e+02	1.8364483e-03	-7.6766731e+01
-1.1395495e+01	4.5753235e-02	-5.5416072e+01	3.5429634e-02	-7.0969589e+01	2.6203564e-02	-9.0194532e+01	1.6835726e-02	-1.1671682e+02	1.0518753e-02	-1.4698747e+02	1.5885294e-03	-1.4686119e+02
-1.1095495e+01	4.6992420e-02	-5.4767016e+01	3.6811381e-02	-6.9789358e+01	2.7376681e-02	-8.7295396e+01	1.8222470e-02	-1.1108917e+02	1.0203831e-02	-1.4624975e+02	7.3162824e-04	-9.3328620e+01
-1.0795495e+01	4.8479048e-02	-5.3462743e+01	3.8766502e-02	-6.8863740e+01	2.7568038e-02	-8.9613758e+01	1.9245596e-02	-1.1372380e+02	1.1214833e-02	-1.4275883e+02	5.7164185e-04	3.8231278e-01
-1.0495495e+01	5.1702560e-02	-5.1895228e+01	4.0939624e-02	-6.6570550e+01	3.0211207e-02	-8.4897557e+01	2.0610893e-02	-1.0627442e+02	1.2256172e-02	-1.3323573e+02	1.5277817e-03	-6.2230592e+01
-1.0195495e+01	5.4433479e-02	-5.0603479e+01	4.3845116e-02	-6.4145229e+01	3.2659669e-02	-8.2932624e+01	2.2887375e-02	-1.0601077e+02	1.3373960e-02	-1.3414531e+02	2.8831184e-04	-8.0694509e+00
-9.8954955e+00	5.7878252e-02	-4.9120985e+01	4.6418249e-02	-6.2975814e+01	3.6143552e-02	-7.8657828e+01	2.4227293e-02	-1.0048715e+02	1.6235123e-02	-1.2841283e+02	1.8325298e-03	-8.2468459e+01
-9.5954955e+00	6.0767704e-02	-4.7689572e+01	4.9232080e-02	-6.0654685e+01	3.6830404e-02	-7.6279309e+01	2.6493681e-02	-9.7579597e+01	1.6709544e-02	-1.2467873e+02	7.0243750e-04	-1.2567070e+02
-9.2954955e+00	6.5175645e-02	-4.5887971e+01	5.3481888e-02	-5.8848940e+01	4.0377391e-02	-7.5103554e+01	2.8940001e-02	-9.5260300e+01	1.8562019e-02	-1.2182643e+02	1.5191678e-03	-9.3544394e+01
-8.9954955e+00	6.7903730e-02	-4.5074442e+01	5.5699775e-02	-5.6900789e+01	4.3002817e-02	-7.2742808e+01	3.0734284e-02	-9.1617761e+01	1.9971864e-02	-1.1680771e+02	5.2803635e-04	-1.3528435e+02
-8.6954955e+00	7.2422116e-02	-4.3361697e+01	5.9006787e-02	-5.5499950e+01	4.7085693e-02	-7.1003579e+01	3.3691453e-02	-8.9951562e+01	2.1808114e-02	-1.1469157e+02	8.8018986e-04	-1.3893268e+02
-8.3954955e+00	7.7171445e-02	-4.1634978e+01	6.4279710e-02	-5.3161772e+01	5.1033753e-02	-6.7943176e+01	3.7001164e-02	-8.6364789e+01	2.5337367e-02	-1.1075180e+02	8.3747111e-04	-1.4295170e+02
-8.0954955e+00	8.2169649e-02	-4.0083237e+01	6.8820303e-02	-5.0575068e+01	5.5067771e-02	-6.4917279e+01	4.1027966e-02	-8.3477803e+01	2.7498051e-02	-1.0414165e+02	1.1194349e-03	-6.8642166e+01
-7.7954955e+00	9.1415242e-02	-3.8092001e+01	7.7027196e-02	-4.8129437e+01	6.1930245e-02	-6.1496253e+01	4.7008259e-02	-7.8817521e+01	3.2838566e-02	-1.0004316e+02	7.8710613e-04	-4.3601489e+01
-7.4954955e+00	9.6948533e-02	-3.6235335e+01	8.2723059e-02	-4.6284323e+01	6.7407002e-02	-5.8052370e+01	5.1315246e-02	-7.4740021e+01	3.5759124e-02	-9.4155119e+01	1.4848644e-03	-2.4844442e+01
-7.1954955e+00	1.0309898e-01	-3.5166687e+01	8.8451676e-02	-4.4350634e+01	7.1977259e-02	-5.6250493e+01	5.5554867e-02	-7.2318240e+01	3.8235368e-02	-9.1307538e+01	2.2577962e-03	-3.4350074e+01
-6.8954955e+00	1.0730684e-01	-3.3984928e+01	9.2890587e-02	-4.3104888e+01	7.5152014e-02	-5.5518334e+01	5.7836233e-02	-7.0666482e+01	4.2805759e-02	-8.9066290e+01	4.1730672e-03	-1.4708902e+02
-6.5954955e+00	1.1795696e-01	-3.1951417e+01	1.0285819e-01	-4.0440107e+01	8.5143436e-02	-5.2531161e+01	6.6971943e-02	-6.5714176e+01	4.9386865e-02	-8.4414065e+01	8.3760727e-04	-1.3365255e+02
-6.2954955e+00	1.3006294e-01	-3.0065004e+01	1.1336410e-01	-3.8287730e+01	9.5339689e-02	-4.8957343e+01	7.5424039e-02	-6.2062114e+01	5.6370139e-02	-7.7749132e+01	3.6235801e-03	-1.3322078e+02
-5.9954955e+00	1.4785877e-01	-2.7464618e+01	1.3086000e-01	-3.4836459e+01	1.1198402e-01	-4.4376730e+01	9.0208432e-02	-5.6296798e+01	6.8412782e-02	-6.9651675e+01	4.4250065e-03	-1.1179019e+02
-5.6954955e+00	1.5531009e-01	-2.6654358e+01	1.3764288e-01	-3.3820521e+01	1.1767595e-01	-4.3220890e+01	9.5549913e-02	-5.4490709e+01	7.2946467e-02	-6.8075567e+01	3.2785823e-03	-9.9706210e+01
-5.3954955e+00	1.7444545e-01	-2.4314594e+01	1.5614891e-01	-3.1143557e+01	1.3422287e-01	-3.9558487e+01	1.1215290e-01	-4.9707809e+01	8.6155969e-02	-6.2079720e+01	8.0486568e-03	-1.0710141e+02
-5.0954955e+00	1.9205615e-01	-2.2839803e+01	1.7329911e-01	-2.8881810e+01	1.5219755e-01	-3.6716499e+01	1.2659836e-01	-4.5964937e+01	1.0030945e-01	-5.8155254e+01	1.3655380e-02	-8.9714034e+01
