21-Sep-2023 18:5:30 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-1.4929429e+01	2.4024364e-02	-5.4103605e+01	1.9730674e-02	-6.8164095e+01	1.4863100e-02	-8.8601525e+01	9.7810917e-03	-1.1500760e+02	5.6942450e-03	-1.5620517e+02	1.0347762e-03	-8.1893093e+01
-1.4629429e+01	2.5120846e-02	-5.3525229e+01	2.0010106e-02	-6.8211384e+01	1.5572283e-02	-8.4852451e+01	1.0039761e-02	-1.1311585e+02	6.9369527e-03	-1.4535468e+02	8.9092621e-04	-2.9006346e+01
-1.4329429e+01	2.5626649e-02	-5.1860484e+01	2.0944347e-02	-6.6271473e+01	1.5040643e-02	-8.5040979e+01	1.0992980e-02	-1.0530685e+02	5.9845156e-03	-1.4079666e+02	1.8920505e-03	-9.2820889e+01
-1.4029429e+01	2.6760927e-02	-5.1149059e+01	2.1236054e-02	-6.5778567e+01	1.6648461e-02	-8.4568796e+01	1.1515269e-02	-1.0881503e+02	7.3177204e-03	-1.4108295e+02	1.1108423e-03	-7.3058842e+01
-1.3729429e+01	2.8392413e-02	-5.0043924e+01	2.2960597e-02	-6.3761627e+01	1.7316580e-02	-8.1332285e+01	1.2026235e-02	-1.0218574e+02	7.2220134e-03	-1.3853240e+02	2.4777351e-03	-9.4603645e+01
-1.3429429e+01	3.0019002e-02	-4.8405610e+01	2.3940599e-02	-6.2750270e+01	1.9151254e-02	-7.6503674e+01	1.2573463e-02	-1.0519669e+02	8.2009066e-03	-1.3792753e+02	6.4073463e-04	1.1342543e+01
-1.3129429e+01	3.1129842e-02	-4.7679649e+01	2.4844468e-02	-6.1653442e+01	1.9338225e-02	-7.8648826e+01	1.3832065e-02	-9.9319333e+01	8.6185612e-03	-1.3111649e+02	1.2590651e-03	-8.5862806e+00
-1.2829429e+01	3.1819801e-02	-4.7041736e+01	2.5557837e-02	-6.0279539e+01	1.9631007e-02	-7.8537858e+01	1.4200677e-02	-9.8541710e+01	8.9369426e-03	-1.2472623e+02	6.6793711e-04	-1.0982290e+02
-1.2529429e+01	3.2712197e-02	-4.6386286e+01	2.6687132e-02	-5.8871334e+01	2.1241312e-02	-7.5565810e+01	1.4762525e-02	-9.7081044e+01	1.0055318e-02	-1.2285929e+02	2.3609233e-03	-1.4960147e+02
-1.2229429e+01	3.3810016e-02	-4.5366159e+01	2.8379881e-02	-5.7722487e+01	2.1822319e-02	-7.5846310e+01	1.5466531e-02	-9.4475054e+01	9.8800648e-03	-1.2588991e+02	8.9676005e-04	-3.3600422e+01
-1.1929429e+01	3.5954436e-02	-4.3470146e+01	2.9400376e-02	-5.6298983e+01	2.3120733e-02	-7.3864581e+01	1.5465618e-02	-9.3442323e+01	1.0814572e-02	-1.1589823e+02	1.7875875e-03	-2.9771485e+01
-1.1629429e+01	3.8129623e-02	-4.2606827e+01	3.1211366e-02	-5.5529784e+01	2.4175415e-02	-7.0646515e+01	1.7853351e-02	-9.1737811e+01	1.2579427e-02	-1.1293268e+02	1.9362128e-03	-8.4661274e+01
-1.1329429e+01	3.9552288e-02	-4.2125040e+01	3.2823287e-02	-5.3884753e+01	2.7028780e-02	-6.8493943e+01	1.9425216e-02	-8.8088171e+01	1.2956360e-02	-1.1499485e+02	1.7323915e-03	-6.2687774e+01
-1.1029429e+01	4.1684117e-02	-4.0349641e+01	3.5042903e-02	-5.1690631e+01	2.7586597e-02	-6.8380109e+01	2.0726025e-02	-8.7017157e+01	1.3868354e-02	-1.1208704e+02	1.1989703e-03	3.9155686e+00
-1.0729429e+01	4.3555486e-02	-3.9616425e+01	3.6856601e-02	-5.1399177e+01	2.9508810e-02	-6.6057248e+01	2.1740710e-02	-8.5333807e+01	1.5199004e-02	-1.0998719e+02	1.3408975e-03	-1.0191493e+02
-1.0429429e+01	4.4799911e-02	-3.8949638e+01	3.7976767e-02	-5.0472295e+01	2.9860599e-02	-6.4187506e+01	2.2466894e-02	-8.2943310e+01	1.5021794e-02	-1.0827894e+02	2.4424708e-03	-1.4614313e+02
-1.0129429e+01	4.6612740e-02	-3.8152296e+01	3.9488410e-02	-4.9206197e+01	3.1991942e-02	-6.2150991e+01	2.4048950e-02	-8.1720637e+01	1.7231963e-02	-1.0466448e+02	1.4449121e-03	-1.7662193e+02
-9.8294294e+00	5.0346325e-02	-3.6265379e+01	4.3017826e-02	-4.7213940e+01	3.5063700e-02	-6.0739950e+01	2.6787184e-02	-7.8641149e+01	1.8143018e-02	-9.7781710e+01	7.3330359e-04	-5.6181840e+01
-9.5294294e+00	5.3548504e-02	-3.4791982e+01	4.6400179e-02	-4.5098751e+01	3.8173132e-02	-5.8046917e+01	2.9087278e-02	-7.6507282e+01	2.1051185e-02	-9.5957861e+01	1.2274231e-03	-1.2344353e+02
-9.2294294e+00	5.5294414e-02	-3.4239089e+01	4.8095058e-02	-4.3784905e+01	3.8956379e-02	-5.7737957e+01	3.0261785e-02	-7.3126276e+01	2.2055449e-02	-9.4230576e+01	1.4361756e-03	1.0880818e+01
-8.9294294e+00	5.8398211e-02	-3.3018600e+01	5.0907650e-02	-4.2805365e+01	4.2992867e-02	-5.5578247e+01	3.2997170e-02	-7.1719691e+01	2.3968571e-02	-9.1846995e+01	1.2673274e-03	-1.1307517e+02
