21-Sep-2023 20:25:36 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	8.7379046e-01	-1.6599454e+00
6.3852298e+04	8.6610071e-01	-1.7548988e+00
7.2157221e+04	8.5857268e-01	-1.8707374e+00
8.1542320e+04	8.5894284e-01	-1.9846114e+00
9.2148088e+04	8.5555107e-01	-2.1098881e+00
1.0413329e+05	8.5341345e-01	-2.2187095e+00
1.1767734e+05	8.5037784e-01	-2.3881093e+00
1.3298300e+05	8.5620817e-01	-2.4852150e+00
1.5027938e+05	8.4905818e-01	-2.6468336e+00
1.6982540e+05	8.4759581e-01	-2.8024781e+00
1.9191367e+05	8.4322793e-01	-2.9921102e+00
2.1687485e+05	8.4224643e-01	-3.1295665e+00
2.4508258e+05	8.3956854e-01	-3.3695256e+00
2.7695915e+05	8.3548932e-01	-3.6224808e+00
3.1298173e+05	8.2919029e-01	-3.9302624e+00
3.5368956e+05	8.3234871e-01	-4.0762469e+00
3.9969205e+05	8.3002457e-01	-4.3310138e+00
4.5167783e+05	8.2567446e-01	-4.6198854e+00
5.1042512e+05	8.2126971e-01	-4.9361457e+00
5.7681335e+05	8.1745331e-01	-5.2601451e+00
6.5183634e+05	8.1102666e-01	-5.6366389e+00
7.3661717e+05	8.0711953e-01	-6.0384751e+00
8.3242498e+05	8.0343979e-01	-6.4786375e+00
9.4069399e+05	7.9334043e-01	-6.9422053e+00
1.0630450e+06	7.9292422e-01	-7.4531736e+00
1.2013095e+06	7.8614342e-01	-7.9865222e+00
1.3575573e+06	7.7896482e-01	-8.5919910e+00
1.5341274e+06	7.7532601e-01	-9.1942890e+00
1.7336631e+06	7.6540045e-01	-9.8832624e+00
1.9591512e+06	7.6090699e-01	-1.0592109e+01
2.2139674e+06	7.4776872e-01	-1.1409439e+01
2.5019262e+06	7.4128630e-01	-1.2245654e+01
2.8273382e+06	7.3798129e-01	-1.3169476e+01
3.1950747e+06	7.2561998e-01	-1.4143827e+01
3.6106408e+06	7.1304679e-01	-1.5246178e+01
4.0802573e+06	6.9846191e-01	-1.6429812e+01
4.6109543e+06	6.9055034e-01	-1.7563620e+01
5.2106761e+06	6.7518002e-01	-1.8899691e+01
5.8884005e+06	6.6641711e-01	-2.0232229e+01
6.6542729e+06	6.5145252e-01	-2.1673898e+01
7.5197582e+06	6.3539528e-01	-2.3298913e+01
8.4978124e+06	6.1551199e-01	-2.5020947e+01
9.6030769e+06	6.0195095e-01	-2.6734055e+01
1.0852097e+07	5.7606811e-01	-2.8748243e+01
1.2263571e+07	5.6371448e-01	-3.0548268e+01
1.3858627e+07	5.4488942e-01	-3.2584065e+01
1.5661143e+07	5.2671535e-01	-3.4574570e+01
1.7698103e+07	5.0999724e-01	-3.6529932e+01
