21-Sep-2023 19:23:18 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	5.3122394e-01	-6.1855799e-01
6.3852298e+04	5.2955634e-01	-6.5812418e-01
7.2157221e+04	5.3132320e-01	-7.2925644e-01
8.1542320e+04	5.2905331e-01	-8.0639269e-01
9.2148088e+04	5.3105079e-01	-7.9706429e-01
1.0413329e+05	5.2635338e-01	-8.9613364e-01
1.1767734e+05	5.3103767e-01	-9.1218456e-01
1.3298300e+05	5.2691902e-01	-9.8606975e-01
1.5027938e+05	5.2567447e-01	-1.0261878e+00
1.6982540e+05	5.2380957e-01	-1.1362184e+00
1.9191367e+05	5.2464026e-01	-1.1765377e+00
2.1687485e+05	5.2419217e-01	-1.2681927e+00
2.4508258e+05	5.2239335e-01	-1.3722567e+00
2.7695915e+05	5.2131038e-01	-1.4560450e+00
3.1298173e+05	5.2157835e-01	-1.5052957e+00
3.5368956e+05	5.2014546e-01	-1.6783262e+00
3.9969205e+05	5.1925357e-01	-1.8067622e+00
4.5167783e+05	5.2196579e-01	-1.9719710e+00
5.1042512e+05	5.2017649e-01	-2.1253132e+00
5.7681335e+05	5.1386551e-01	-2.2734234e+00
6.5183634e+05	5.1716546e-01	-2.4502236e+00
7.3661717e+05	5.1195094e-01	-2.7020591e+00
8.3242498e+05	5.1369459e-01	-2.9114787e+00
9.4069399e+05	5.1343345e-01	-3.1574998e+00
1.0630450e+06	5.1390070e-01	-3.4335275e+00
1.2013095e+06	5.1523727e-01	-3.7634156e+00
1.3575573e+06	5.1268484e-01	-4.1218094e+00
1.5341274e+06	5.0936435e-01	-4.5406995e+00
1.7336631e+06	5.0901099e-01	-4.9637769e+00
1.9591512e+06	5.0867076e-01	-5.4110430e+00
2.2139674e+06	5.0528169e-01	-6.0354807e+00
2.5019262e+06	4.9862762e-01	-6.5932449e+00
2.8273382e+06	4.9767493e-01	-7.1770537e+00
3.1950747e+06	4.9674510e-01	-7.8152461e+00
3.6106408e+06	4.9655066e-01	-8.5537535e+00
4.0802573e+06	4.9473916e-01	-9.4347161e+00
4.6109543e+06	4.8983352e-01	-1.0449771e+01
5.2106761e+06	4.8526431e-01	-1.1536025e+01
5.8884005e+06	4.8015804e-01	-1.2624018e+01
6.6542729e+06	4.7795444e-01	-1.3788833e+01
7.5197582e+06	4.7147197e-01	-1.5147211e+01
8.4978124e+06	4.6734977e-01	-1.6579800e+01
9.6030769e+06	4.5907801e-01	-1.8168109e+01
1.0852097e+07	4.4811138e-01	-1.9868197e+01
1.2263571e+07	4.4112178e-01	-2.1819445e+01
1.3858627e+07	4.3410524e-01	-2.3744606e+01
1.5661143e+07	4.2030551e-01	-2.5919005e+01
