21-Sep-2023 18:50:16 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-1.5010511e+01	2.0386270e-02	-3.8481136e+01	1.7901046e-02	-4.8837982e+01	1.4198355e-02	-6.1418399e+01	1.0561442e-02	-8.2986243e+01	7.6778745e-03	-1.1403614e+02	5.4413756e-04	-1.5198501e+02
-1.4710511e+01	2.1473665e-02	-3.7418524e+01	1.8573688e-02	-4.9392208e+01	1.4628004e-02	-6.4241814e+01	1.1976654e-02	-7.9884930e+01	8.0083933e-03	-1.0676570e+02	4.4561025e-04	-4.6443688e+01
-1.4410511e+01	2.2236694e-02	-3.6550065e+01	1.8622244e-02	-4.8152219e+01	1.5322065e-02	-6.1847705e+01	1.2218636e-02	-8.3465061e+01	8.0835495e-03	-1.0773227e+02	1.3537235e-03	-9.4074707e+01
-1.4110511e+01	2.2730320e-02	-3.6489315e+01	1.9705757e-02	-4.6482159e+01	1.5892992e-02	-6.4499542e+01	1.2694682e-02	-7.8212024e+01	8.5172441e-03	-1.0416548e+02	1.0217086e-03	-8.7163263e+01
-1.3810511e+01	2.2971359e-02	-3.5299551e+01	2.0282462e-02	-4.5616407e+01	1.6282459e-02	-6.4125393e+01	1.3529693e-02	-8.1571086e+01	8.5126837e-03	-1.0333926e+02	7.3706119e-04	-7.7994032e+01
-1.3510511e+01	2.4383239e-02	-3.4768593e+01	2.1196565e-02	-4.5172394e+01	1.7678768e-02	-5.9320193e+01	1.3425725e-02	-7.3276466e+01	9.8157839e-03	-9.6737724e+01	7.0900647e-04	-3.9591354e+01
-1.3210511e+01	2.5511381e-02	-3.4356283e+01	2.1991771e-02	-4.4305536e+01	1.8279416e-02	-5.6427685e+01	1.4398940e-02	-7.4182622e+01	1.0418282e-02	-9.6072387e+01	1.5743566e-03	-1.3000218e+02
-1.2910511e+01	2.6657311e-02	-3.3394687e+01	2.2773344e-02	-4.4163218e+01	1.8056703e-02	-5.4136073e+01	1.5621167e-02	-7.4576811e+01	1.1567067e-02	-9.8078209e+01	3.3259591e-05	-6.3998429e+01
-1.2610511e+01	2.6654870e-02	-3.3227227e+01	2.3301827e-02	-4.2065040e+01	1.9735932e-02	-5.5211597e+01	1.5627918e-02	-7.2291570e+01	1.1600721e-02	-8.9638435e+01	2.4068458e-03	-8.3502843e+01
-1.2310511e+01	2.8145333e-02	-3.1373733e+01	2.4669146e-02	-4.1915159e+01	2.0717233e-02	-5.5185807e+01	1.6298693e-02	-6.9802776e+01	1.2036443e-02	-8.8621844e+01	7.7550714e-04	-5.1645199e+01
-1.2010511e+01	2.8939808e-02	-3.1634680e+01	2.4783704e-02	-4.1301670e+01	2.0916017e-02	-5.2840418e+01	1.7090374e-02	-7.0436583e+01	1.2881721e-02	-9.1325224e+01	5.3778218e-04	-1.1227242e+01
-1.1710511e+01	2.9195471e-02	-3.1064248e+01	2.6295479e-02	-4.0224964e+01	2.2435649e-02	-5.2865022e+01	1.7582341e-02	-6.9550984e+01	1.3031548e-02	-8.7915129e+01	1.6438884e-03	-1.5448262e+00
