21-Sep-2023 20:2:52 PM	
Frequency (Hz)	R (volts rms)	Theta (degree)
5.0000000e+04	2.1370934e-02	1.7806637e+02
5.6503229e+04	1.9993086e-02	1.7878719e+02
6.3852298e+04	2.0014589e-02	1.7854249e+02
7.2157221e+04	2.0039240e-02	1.7829889e+02
8.1542320e+04	2.0062972e-02	1.7804203e+02
9.2148088e+04	2.0081080e-02	1.7776763e+02
1.0413329e+05	2.0100432e-02	1.7749351e+02
1.1767734e+05	2.0121435e-02	1.7720295e+02
1.3298300e+05	2.0138110e-02	1.7689513e+02
1.5027938e+05	2.0148588e-02	1.7653681e+02
1.6982540e+05	2.0151275e-02	1.7614747e+02
1.9191367e+05	2.0152739e-02	1.7566176e+02
2.1687485e+05	2.0138972e-02	1.7555134e+02
2.4508258e+05	2.0129515e-02	1.7505331e+02
2.7695915e+05	2.0116838e-02	1.7479420e+02
3.1298173e+05	2.0117812e-02	1.7413418e+02
3.5368956e+05	2.0092270e-02	1.7337248e+02
3.9969205e+05	2.0054550e-02	1.7280676e+02
4.5167783e+05	2.0035399e-02	1.7212479e+02
5.1042512e+05	1.9991438e-02	1.7140412e+02
5.7681335e+05	1.9945517e-02	1.7061145e+02
6.5183634e+05	1.9890974e-02	1.6985419e+02
7.3661717e+05	1.9822983e-02	1.6903079e+02
8.3242498e+05	1.9743306e-02	1.6809717e+02
9.4069399e+05	1.9653049e-02	1.6704191e+02
1.0630450e+06	1.9540201e-02	1.6593129e+02
1.2013095e+06	1.9414235e-02	1.6475492e+02
1.3575573e+06	1.9293013e-02	1.6346714e+02
1.5341274e+06	1.9191982e-02	1.6192988e+02
1.7336631e+06	1.9092027e-02	1.5999396e+02
1.9591512e+06	1.9000909e-02	1.5768544e+02
2.2139674e+06	1.8906022e-02	1.5497047e+02
2.5019262e+06	1.8819845e-02	1.5195995e+02
2.8273382e+06	1.8742096e-02	1.4861332e+02
3.1950747e+06	1.8675826e-02	1.4487118e+02
3.6106408e+06	1.8624542e-02	1.4062218e+02
4.0802573e+06	1.8559630e-02	1.3578619e+02
4.6109543e+06	1.8486128e-02	1.3016122e+02
5.2106761e+06	1.8223137e-02	1.2365739e+02
5.8884005e+06	1.7834254e-02	1.1736983e+02
6.6542729e+06	1.7753528e-02	1.1108748e+02
7.5197582e+06	1.7761637e-02	1.0382652e+02
8.4978124e+06	1.7748580e-02	9.5132470e+01
9.6030769e+06	1.7729513e-02	8.4916582e+01
1.0852097e+07	1.7637013e-02	7.3096700e+01
1.2263571e+07	1.7532846e-02	5.9248411e+01
1.3858627e+07	1.7385441e-02	4.2407342e+01
1.5661143e+07	1.7091753e-02	2.1854053e+01
     NaN	     NaN	     NaN
     NaN	     NaN	     NaN
