Synthetic FDTR: 73nm Au / 100nm BN / Si, spot=5.0um  R normalized at 5e+04 Hz
Frequency (Hz)	R (normalized)	Theta (degree)
5.0000000e+04	1.0000000e+00	-3.2386220e+00
5.3939569e+04	9.9764356e-01	-3.3484616e+00
5.8189542e+04	9.9521047e-01	-3.4617982e+00
6.2774377e+04	9.9269792e-01	-3.5786968e+00
6.7720457e+04	9.9010340e-01	-3.6992074e+00
7.3056245e+04	9.8742473e-01	-3.8233731e+00
7.8812447e+04	9.8466013e-01	-3.9512379e+00
8.5022189e+04	9.8180813e-01	-4.0828550e+00
9.1721205e+04	9.7886753e-01	-4.2182930e+00
9.8948045e+04	9.7583728e-01	-4.3576389e+00
1.0674430e+05	9.7271639e-01	-4.5009989e+00
1.1515483e+05	9.6950381e-01	-4.6484963e+00
1.2422804e+05	9.6619840e-01	-4.8002678e+00
1.3401614e+05	9.6279893e-01	-4.9564591e+00
1.4457545e+05	9.5930408e-01	-5.1172206e+00
1.5596675e+05	9.5571255e-01	-5.2827055e+00
1.6825559e+05	9.5202308e-01	-5.4530687e+00
1.8151268e+05	9.4823458e-01	-5.6284695e+00
1.9581431e+05	9.4434613e-01	-5.8090745e+00
2.1124279e+05	9.4035708e-01	-5.9950625e+00
2.2788690e+05	9.3626698e-01	-6.1866295e+00
2.4584243e+05	9.3207560e-01	-6.3839929e+00
2.6521269e+05	9.2778290e-01	-6.5873952e+00
2.8610917e+05	9.2338896e-01	-6.7971064e+00
3.0865210e+05	9.1889401e-01	-7.0134258e+00
3.3297123e+05	9.1429837e-01	-7.2366841e+00
3.5920649e+05	9.0960246e-01	-7.4672452e+00
3.8750887e+05	9.0480682e-01	-7.7055092e+00
4.1804123e+05	8.9991207e-01	-7.9519165e+00
4.5097927e+05	8.9491896e-01	-8.2069526e+00
4.8651255e+05	8.8982826e-01	-8.4711535e+00
5.2484555e+05	8.8464084e-01	-8.7451116e+00
5.6619886e+05	8.7935750e-01	-9.0294813e+00
6.1081045e+05	8.7397901e-01	-9.3249849e+00
6.5893705e+05	8.6850596e-01	-9.6324184e+00
7.1085561e+05	8.6293876e-01	-9.9526571e+00
7.6686490e+05	8.5727749e-01	-1.0286662e+01
8.2728725e+05	8.5152185e-01	-1.0635484e+01
8.9247035e+05	8.4567105e-01	-1.1000272e+01
9.6278932e+05	8.3972367e-01	-1.1382278e+01
1.0386488e+06	8.3367754e-01	-1.1782862e+01
1.1204854e+06	8.2752958e-01	-1.2203496e+01
1.2087700e+06	8.2127565e-01	-1.2645771e+01
1.3040107e+06	8.1491035e-01	-1.3111394e+01
1.4067555e+06	8.0842685e-01	-1.3602194e+01
1.5175957e+06	8.0181671e-01	-1.4120118e+01
1.6371691e+06	7.9506962e-01	-1.4667231e+01
1.7661639e+06	7.8817327e-01	-1.5245704e+01
1.9053224e+06	7.8111308e-01	-1.5857813e+01
2.0554454e+06	7.7387205e-01	-1.6505918e+01
2.2173968e+06	7.6643055e-01	-1.7192448e+01
2.3921086e+06	7.5876623e-01	-1.7919880e+01
2.5805861e+06	7.5085388e-01	-1.8690707e+01
2.7839140e+06	7.4266542e-01	-1.9507403e+01
3.0032625e+06	7.3416993e-01	-2.0372381e+01
3.2398937e+06	7.2533383e-01	-2.1287942e+01
3.4951694e+06	7.1612113e-01	-2.2256221e+01
3.7705586e+06	7.0649388e-01	-2.3279116e+01
4.0676461e+06	6.9641276e-01	-2.4358219e+01
4.3881416e+06	6.8583790e-01	-2.5494741e+01
4.7338893e+06	6.7472987e-01	-2.6689424e+01
5.1068790e+06	6.6305091e-01	-2.7942459e+01
5.5092570e+06	6.5076635e-01	-2.9253407e+01
5.9433390e+06	6.3784619e-01	-3.0621116e+01
6.4116229e+06	6.2426680e-01	-3.2043657e+01
6.9168035e+06	6.1001270e-01	-3.3518270e+01
7.4617880e+06	5.9507826e-01	-3.5041327e+01
8.0497126e+06	5.7946922e-01	-3.6608326e+01
8.6839606e+06	5.6320399e-01	-3.8213907e+01
9.3681819e+06	5.4631450e-01	-3.9851897e+01
1.0106314e+07	5.2884654e-01	-4.1515389e+01
1.0902604e+07	5.1085957e-01	-4.3196852e+01
1.1761636e+07	4.9242583e-01	-4.4888260e+01
1.2688351e+07	4.7362893e-01	-4.6581250e+01
1.3688084e+07	4.5456183e-01	-4.8267288e+01
1.4766587e+07	4.3532438e-01	-4.9937850e+01
1.5930067e+07	4.1602061e-01	-5.1584593e+01
1.7185219e+07	3.9675585e-01	-5.3199528e+01
1.8539266e+07	3.7763389e-01	-5.4775175e+01
2.0000000e+07	3.5875433e-01	-5.6304696e+01
