# Synthetic benchmark data (H2D model)  Probe rad: 4.9 um  Pump rad: 4.9 um  R normalized: R_ref = |H| at 300000 Hz, 0 um = 1.129365e-07
Offset (microns)	R (300000 Hz)	Theta (300000 Hz)	R (4240000 Hz)	Theta (4240000 Hz)	R (8180000 Hz)	Theta (8180000 Hz)	R (12120000 Hz)	Theta (12120000 Hz)	R (16060000 Hz)	Theta (16060000 Hz)	R (20000000 Hz)	Theta (20000000 Hz)
-1.5000000e+01	2.0860339e-02	-7.7189971e+01	6.5857749e-04	-1.1823165e+02	3.0753269e-04	-1.3503166e+02	1.4627818e-04	-1.4902212e+02	7.3803410e-05	-1.5153170e+02	4.2491691e-05	-1.4431165e+02
-1.4700000e+01	2.2247918e-02	-7.4775469e+01	8.2723361e-04	-1.1250061e+02	3.9583837e-04	-1.2906941e+02	1.9424993e-04	-1.4198038e+02	1.0213879e-04	-1.4389915e+02	6.1440452e-05	-1.3721887e+02
-1.4400000e+01	2.3762482e-02	-7.2325240e+01	1.0391407e-03	-1.0698898e+02	5.0977606e-04	-1.2330309e+02	2.5820488e-04	-1.3527725e+02	1.4124575e-04	-1.3683672e+02	8.8285061e-05	-1.3083529e+02
-1.4100000e+01	2.5421390e-02	-6.9837974e+01	1.3051054e-03	-1.0170169e+02	6.5661616e-04	-1.1775149e+02	3.4325413e-04	-1.2893173e+02	1.9489641e-04	-1.3032384e+02	1.2594815e-04	-1.2506965e+02
-1.3800000e+01	2.7245118e-02	-6.7313108e+01	1.6384368e-03	-9.6642858e+01	8.4552619e-04	-1.1242984e+02	4.5597181e-04	-1.2295286e+02	2.6801478e-04	-1.2432881e+02	1.7828763e-04	-1.1984130e+02
-1.3500000e+01	2.9257837e-02	-6.4751091e+01	2.0554365e-03	-9.1815379e+01	1.0879864e-03	-1.0734934e+02	6.0474197e-04	-1.1734095e+02	3.6696813e-04	-1.1881415e+02	2.5034444e-04	-1.1508087e+02
-1.3200000e+01	3.1488055e-02	-6.2153658e+01	2.5759534e-03	-8.7220742e+01	1.3982689e-03	-1.0251711e+02	8.0016476e-04	-1.1208921e+02	4.9991224e-04	-1.1374046e+02	3.4863846e-04	-1.1072952e+02
-1.2900000e+01	3.3969328e-02	-5.9524111e+01	3.2240020e-03	-8.2858869e+01	1.7939823e-03	-9.7936361e+01	1.0555250e-03	-1.0718559e+02	6.7719418e-04	-1.0906895e+02	4.8151659e-04	-1.0673765e+02
-1.2600000e+01	3.6741023e-02	-5.6867567e+01	4.0284414e-03	-7.8728083e+01	2.2966800e-03	-9.3606751e+01	1.3873235e-03	-1.0261438e+02	9.1181419e-04	-1.0476288e+02	6.5955516e-04	-1.0306346e+02
-1.2300000e+01	3.9849119e-02	-5.4191145e+01	5.0237039e-03	-7.4825158e+01	2.9325277e-03	-8.9524898e+01	1.8158691e-03	-9.8357633e+01	1.2199458e-03	-1.0078834e+02	8.9601702e-04	-9.9671627e+01
-1.2000000e+01	4.3347009e-02	-5.1504053e+01	6.2505625e-03	-7.1145440e+01	3.7330191e-03	-8.5684930e+01	2.3659236e-03	-9.4396300e+01	1.6215093e-03	-9.7114534e+01	1.2073599e-03	-9.6532188e+01
-1.1700000e+01	4.7296273e-02	-4.8817539e+01	7.7569134e-03	-6.7683016e+01	4.7357251e-03	-8.2079051e+01	3.0673877e-03	-9.0711053e+01	2.1407892e-03	-9.3713737e+01	1.6137890e-03	-9.3619583e+01
-1.1400000e+01	5.1767369e-02	-4.6144681e+01	9.5985480e-03	-6.4430918e+01	5.9850527e-03	-7.8698054e+01	3.9560102e-03	-8.7282877e+01	2.8070815e-03	-9.0561169e+01	2.1398419e-03	-9.0911884e+01
-1.1100000e+01	5.6840207e-02	-4.3500012e+01	1.1839877e-02	-6.1381333e+01	7.5329824e-03	-7.5531784e+01	5.0740930e-03	-8.4093469e+01	3.6553474e-03	-8.7634740e+01	2.8149873e-03	-8.8390162e+01
-1.0800000e+01	6.2604536e-02	-4.0898985e+01	1.4554561e-02	-5.8525814e+01	9.4397455e-03	-7.2569526e+01	6.4711589e-03	-8.1125478e+01	4.7268467e-03	-8.4914785e+01	3.6742128e-03	-8.6037981e+01
-1.0500000e+01	6.9160102e-02	-3.8357333e+01	1.7825999e-02	-5.5855484e+01	1.1774392e-02	-6.9800318e+01	8.2045396e-03	-7.8362641e+01	6.0697119e-03	-8.2383794e+01	4.7585696e-03	-8.3840984e+01
-1.0200000e+01	7.6616515e-02	-3.5890365e+01	2.1747597e-02	-5.3361208e+01	1.4615193e-02	-6.7213205e+01	1.0339833e-02	-7.5789832e+01	7.7394204e-03	-8.0026168e+01	6.1156353e-03	-8.1786566e+01
-9.9000000e+00	8.5092776e-02	-3.3512276e+01	2.6422775e-02	-5.1033760e+01	1.8049809e-02	-6.4797417e+01	1.2951173e-02	-7.3393068e+01	9.7991098e-03	-7.7827984e+01	7.7998462e-03	-7.9863596e+01
-9.6000000e+00	9.4716406e-02	-3.1235550e+01	3.1964604e-02	-4.8863947e+01	2.2175164e-02	-6.2542513e+01	1.6121239e-02	-7.1159475e+01	1.2319680e-02	-7.5776795e+01	9.8726484e-03	-7.8062205e+01
-9.3000000e+00	1.0562213e-01	-2.9070490e+01	3.8495029e-02	-4.6842728e+01	2.7096933e-02	-6.0438475e+01	1.9940952e-02	-6.9077234e+01	1.5379616e-02	-7.3861446e+01	1.2402408e-02	-7.6373598e+01
-9.0000000e+00	1.1795003e-01	-2.7024922e+01	4.6143569e-02	-4.4961292e+01	3.2928591e-02	-5.8475767e+01	2.4508767e-02	-6.7135515e+01	1.9064468e-02	-7.2071926e+01	1.5464020e-02	-7.4789910e+01
-8.7000000e+00	1.3184319e-01	-2.5104089e+01	5.5045459e-02	-4.3211132e+01	3.9789929e-02	-5.6645374e+01	2.9929509e-02	-6.5324409e+01	2.3465929e-02	-7.0399225e+01	1.9138161e-02	-7.3304078e+01
-8.4000000e+00	1.4744472e-01	-2.3310699e+01	6.5339154e-02	-4.1584090e+01	4.7805005e-02	-5.4938820e+01	3.6312689e-02	-6.3634857e+01	2.8680436e-02	-6.8835218e+01	2.3510122e-02	-7.1909742e+01
-8.1000000e+00	1.6489411e-01	-2.1645117e+01	7.7163156e-02	-4.0072397e+01	5.7099460e-02	-5.3348167e+01	4.3770254e-02	-6.2058577e+01	3.4807277e-02	-6.7372566e+01	2.8668188e-02	-7.0601158e+01
-7.8000000e+00	1.8432304e-01	-2.0105654e+01	9.0652173e-02	-3.8668687e+01	6.7797195e-02	-5.1866010e+01	5.2413736e-02	-6.0588006e+01	4.1946149e-02	-6.6004627e+01	3.4701526e-02	-6.9373120e+01
-7.5000000e+00	2.0585049e-01	-1.8688914e+01	1.0593260e-01	-3.7366017e+01	8.0016407e-02	-5.0485458e+01	6.2350820e-02	-5.9216232e+01	5.0194167e-02	-6.4725376e+01	4.1697575e-02	-6.8220906e+01
-7.2000000e+00	2.2957736e-01	-1.7390151e+01	1.2311739e-01	-3.6157863e+01	9.3865030e-02	-4.9200120e+01	7.3681336e-02	-5.7936939e+01	5.9642355e-02	-6.3529347e+01	4.9738946e-02	-6.7140221e+01
-6.9000000e+00	2.5558057e-01	-1.6203632e+01	1.4230043e-01	-3.5038122e+01	1.0943566e-01	-4.8004076e+01	8.6492755e-02	-5.6744359e+01	7.0371665e-02	-6.2411568e+01	5.8899889e-02	-6.6127150e+01
-6.6000000e+00	2.8390694e-01	-1.5122958e+01	1.6355051e-01	-3.4001105e+01	1.2680010e-01	-4.6891854e+01	1.0085530e-01	-5.5633218e+01	8.2448608e-02	-6.1367513e+01	6.9242393e-02	-6.5178125e+01
-6.3000000e+00	3.1456685e-01	-1.4141351e+01	1.8690515e-01	-3.3041517e+01	1.4600364e-01	-4.5858407e+01	1.1681680e-01	-5.4598700e+01	9.5920639e-02	-6.0393062e+01	8.0812035e-02	-6.4289885e+01
-6.0000000e+00	3.4752810e-01	-1.3251891e+01	2.1236443e-01	-3.2154455e+01	1.6705938e-01	-4.4899084e+01	1.3439749e-01	-5.3636405e+01	1.1081145e-01	-5.9484457e+01	9.3633722e-02	-6.3459452e+01
-5.7000000e+00	3.8271016e-01	-1.2447704e+01	2.3988520e-01	-3.1335381e+01	1.8994273e-01	-4.4009609e+01	1.5358496e-01	-5.2742313e+01	1.2711636e-01	-5.8638274e+01	1.0770751e-01	-6.2684103e+01
-5.4000000e+00	4.1997905e-01	-1.1722109e+01	2.6937584e-01	-3.0580110e+01	2.1458644e-01	-4.3186053e+01	1.7432954e-01	-5.1912755e+01	1.4479809e-01	-5.7851389e+01	1.2300471e-01	-6.1961348e+01
-5.1000000e+00	4.5914338e-01	-1.1068724e+01	3.0069196e-01	-2.9884795e+01	2.4087643e-01	-4.2424816e+01	1.9654034e-01	-5.1144384e+01	1.6378302e-01	-5.7120956e+01	1.3946444e-01	-6.1288912e+01
-4.8000000e+00	4.9995157e-01	-1.0481537e+01	3.3363339e-01	-2.9245902e+01	2.6864872e-01	-4.1722601e+01	2.2008224e-01	-5.0434150e+01	1.8395839e-01	-5.6444381e+01	1.5699101e-01	-6.0664715e+01
