# Synthetic benchmark data (H2D model)  Probe rad: 5.1 um  Pump rad: 5.1 um  R normalized: R_ref = |H| at 300000 Hz, 0 um = 1.151862e-07
Offset (microns)	R (300000 Hz)	Theta (300000 Hz)	R (4240000 Hz)	Theta (4240000 Hz)	R (8180000 Hz)	Theta (8180000 Hz)	R (12120000 Hz)	Theta (12120000 Hz)	R (16060000 Hz)	Theta (16060000 Hz)	R (20000000 Hz)	Theta (20000000 Hz)
-1.5000000e+01	2.2459864e-02	-7.5526488e+01	8.6595347e-04	-1.0596244e+02	4.2988394e-04	-1.2063356e+02	2.2016873e-04	-1.3062286e+02	1.2420396e-04	-1.3034760e+02	8.1168230e-05	-1.2371194e+02
-1.4700000e+01	2.3985263e-02	-7.3047481e+01	1.0896143e-03	-1.0082925e+02	5.5423202e-04	-1.1534158e+02	2.9308308e-04	-1.2474939e+02	1.7120492e-04	-1.2462723e+02	1.1490737e-04	-1.1893314e+02
-1.4400000e+01	2.5656290e-02	-7.0530619e+01	1.3699301e-03	-9.5930146e+01	7.1402630e-04	-1.1028826e+02	3.8945800e-04	-1.1924101e+02	2.3486058e-04	-1.1936603e+02	1.6131656e-04	-1.1456361e+02
-1.4100000e+01	2.7493565e-02	-6.7975893e+01	1.7204861e-03	-9.1265191e+01	9.1879427e-04	-1.0547937e+02	5.1624275e-04	-1.1408749e+02	3.2045482e-04	-1.1452195e+02	2.2459308e-04	-1.1055134e+02
-1.3800000e+01	2.9521339e-02	-6.5384431e+01	2.1577800e-03	-8.6833101e+01	1.1803335e-03	-1.0091700e+02	6.8217818e-04	-1.0927425e+02	4.3471423e-04	-1.1005546e+02	3.1012627e-04	-1.0685319e+02
-1.3500000e+01	3.1768091e-02	-6.2758760e+01	2.7017229e-03	-8.2631234e+01	1.5131473e-03	-9.6599982e+01	8.9816866e-04	-1.0478392e+02	5.8612572e-04	-1.0593032e+02	4.2477071e-04	-1.0343316e+02
-1.3200000e+01	3.4267169e-02	-6.0103058e+01	3.3761919e-03	-7.8655642e+01	1.9349330e-03	-9.2524384e+01	1.1777043e-03	-1.0059765e+02	7.8530069e-04	-1.0211384e+02	5.7716193e-04	-1.0026103e+02
-1.2900000e+01	3.7057467e-02	-5.7423344e+01	4.2096262e-03	-7.4901176e+01	2.4671186e-03	-8.8684047e+01	1.5373321e-03	-9.6696001e+01	1.0453856e-03	-9.8576784e+01	7.7807510e-04	-9.7311268e+01
-1.2600000e+01	4.0184116e-02	-5.4727610e+01	5.2356591e-03	-7.1361636e+01	3.1354432e-03	-8.5071110e+01	1.9971723e-03	-9.3059696e+01	1.3825165e-03	-9.5293194e+01	1.0408253e-03	-9.4562110e+01
-1.2300000e+01	4.3699158e-02	-5.2025824e+01	6.4937713e-03	-6.8029943e+01	3.9705694e-03	-8.1676490e+01	2.5814714e-03	-8.9670054e+01	1.8163119e-03	-9.2240053e+01	1.3817051e-03	-9.1994887e+01
-1.2000000e+01	4.7662168e-02	-4.9329803e+01	8.0299462e-03	-6.4898323e+01	5.0087133e-03	-7.8490295e+01	3.3191811e-03	-8.6509297e+01	2.3703938e-03	-8.9396975e+01	1.8204518e-03	-8.9593461e+01
-1.1700000e+01	5.2140790e-02	-4.6652937e+01	9.8973026e-03	-6.1958484e+01	6.2922697e-03	-7.5502176e+01	4.2445440e-03	-8.3560711e+01	3.0729239e-03	-8.6745892e+01	2.3807323e-03	-8.7343793e+01
-1.1400000e+01	5.7211147e-02	-4.4009755e+01	1.2156673e-02	-5.9201787e+01	7.8704073e-03	-7.2701605e+01	5.3976646e-03	-8.0808725e+01	3.9571345e-03	-8.4270767e+01	3.0906302e-03	-8.5233589e+01
-1.1100000e+01	6.2958076e-02	-4.1415377e+01	1.4877087e-02	-5.6619400e+01	9.7995983e-03	-7.0078093e+01	6.8250368e-03	-7.8238925e+01	5.0618298e-03	-8.1957336e+01	3.9831121e-03	-8.3252016e+01
-1.0800000e+01	6.9475149e-02	-3.8884884e+01	1.8136122e-02	-5.4202428e+01	1.2144043e-02	-6.7621358e+01	8.5799902e-03	-7.5838026e+01	6.4318267e-03	-7.9792880e+01	5.0964474e-03	-8.1389482e+01
-1.0500000e+01	7.6864444e-02	-3.6432667e+01	2.2020062e-02	-5.1942032e+01	1.4975943e-02	-6.5321437e+01	1.0723017e-02	-7.3593822e+01	8.1182980e-03	-7.7766029e+01	6.4745493e-03	-7.9637447e+01
-1.0200000e+01	8.5236024e-02	-3.4071817e+01	2.6623810e-02	-4.9829517e+01	1.8375571e-02	-6.3168778e+01	1.3321930e-02	-7.1495123e+01	1.0178977e-02	-7.5866592e+01	8.1671982e-03	-7.7988274e+01
-9.9000000e+00	9.4707073e-02	-3.1813626e+01	3.2050503e-02	-4.7856410e+01	2.2431081e-02	-6.1154282e+01	1.6451802e-02	-6.9531681e+01	1.2678179e-02	-7.4085410e+01	1.0230108e-02	-7.6435104e+01
-9.6000000e+00	1.0540067e-01	-2.9667210e+01	3.8410764e-02	-4.6014518e+01	2.7238004e-02	-5.9269342e+01	2.0194635e-02	-6.7694118e+01	1.5686580e-02	-7.2414229e+01	1.2724788e-02	-7.4971754e+01
-9.3000000e+00	1.1744414e-01	-2.7639309e+01	4.5821530e-02	-4.4295972e+01	3.2898369e-02	-5.7505851e+01	2.4638698e-02	-6.5973855e+01	1.9280729e-02	-7.0845594e+01	1.5718161e-02	-7.3592633e+01
-9.0000000e+00	1.3096695e-01	-2.5734242e+01	5.4404413e-02	-4.2693252e+01	3.9519397e-02	-5.5856207e+01	2.9877498e-02	-6.4363044e+01	2.3542207e-02	-6.9372756e+01	1.9281882e-02	-7.2292667e+01
-8.7000000e+00	1.4609816e-01	-2.3953998e+01	6.4283545e-02	-4.1199214e+01	4.7211733e-02	-5.4313299e+01	3.6008321e-02	-6.2854503e+01	2.8556434e-02	-6.7989592e+01	2.3491329e-02	-7.1067242e+01
-8.4000000e+00	1.6296328e-01	-2.2298445e+01	7.5582888e-02	-3.9807095e+01	5.6087173e-02	-5.2870496e+01	4.3130329e-02	-6.1441660e+01	3.4411052e-02	-6.6690534e+01	2.8424231e-02	-6.9912149e+01
-8.1000000e+00	1.8168075e-01	-2.0765612e+01	8.8422988e-02	-3.8510520e+01	6.6255871e-02	-5.1521629e+01	5.1342179e-02	-6.0118495e+01	4.1193896e-02	-6.5470511e+01	3.4158907e-02	-6.8823544e+01
-7.8000000e+00	2.0235781e-01	-1.9352009e+01	1.0291720e-01	-3.7303499e+01	7.7823055e-02	-5.0260966e+01	6.0739180e-02	-5.8879495e+01	4.8990523e-02	-6.4324899e+01	4.0772112e-02	-6.7797907e+01
-7.5000000e+00	2.2508599e-01	-1.8052961e+01	1.1916745e-01	-3.6180419e+01	9.0885252e-02	-4.9083191e+01	7.1409994e-02	-5.7719606e+01	5.7881335e-02	-6.3249472e+01	4.8336508e-02	-6.6832012e+01
-7.2000000e+00	2.4993625e-01	-1.6862926e+01	1.3725952e-01	-3.5136036e+01	1.0552611e-01	-4.7983380e+01	8.3432951e-02	-5.6634197e+01	6.7938330e-02	-6.2240368e+01	5.6917789e-02	-6.5922896e+01
-6.9000000e+00	2.7695380e-01	-1.5775784e+01	1.5725811e-01	-3.4165465e+01	1.2181192e-01	-4.6956978e+01	9.6872049e-02	-5.5619020e+01	7.9221547e-02	-6.1294049e+01	6.6571512e-02	-6.5067839e+01
-6.6000000e+00	3.0615290e-01	-1.4785087e+01	1.7920171e-01	-3.3264160e+01	1.3978689e-01	-4.5999776e+01	1.1177274e-01	-5.4670178e+01	9.1775306e-02	-6.0407275e+01	7.7339736e-02	-6.4264337e+01
