30-Sep-2023 8:48:8 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (300000 Hz)	Theta (300000 Hz)	R (475468 Hz)	Theta (475468 Hz)	R (753566 Hz)	Theta (753566 Hz)	R (1194320 Hz)	Theta (1194320 Hz)	R (1892870 Hz)	Theta (1892870 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-7.6216216e+00	9.6469997e-02	-1.3829565e+01	9.0656374e-02	-1.8113767e+01	8.4735206e-02	-2.3748078e+01	7.4649736e-02	-3.0926393e+01	6.7099836e-02	-3.8447923e+01	1.1890062e-03	-1.3569360e+02
-7.3216216e+00	1.0151446e-01	-1.3469023e+01	9.5267893e-02	-1.7341593e+01	8.8729945e-02	-2.1841983e+01	8.0297436e-02	-2.9264190e+01	7.1605620e-02	-3.7421192e+01	4.4109370e-03	-5.8562608e+00
-7.0216216e+00	1.0737173e-01	-1.2901501e+01	1.0183090e-01	-1.6951237e+01	9.4705300e-02	-2.1665020e+01	8.6709941e-02	-2.8730450e+01	7.6118426e-02	-3.6432487e+01	4.2402608e-03	-3.5491078e+01
-6.7216216e+00	1.1561453e-01	-1.2304680e+01	1.0970825e-01	-1.5885289e+01	1.0299787e-01	-1.9983090e+01	9.3278791e-02	-2.6857910e+01	8.3907487e-02	-3.3437891e+01	5.6160739e-03	-1.7148906e+02
-6.4216216e+00	1.2470483e-01	-1.1538652e+01	1.1868076e-01	-1.4833482e+01	1.1114118e-01	-1.8862135e+01	1.0295054e-01	-2.4575205e+01	9.1588607e-02	-3.2181201e+01	4.2662171e-03	-1.7207811e+02
-6.1216216e+00	1.3560951e-01	-1.0748263e+01	1.2899488e-01	-1.4003647e+01	1.2135033e-01	-1.7848126e+01	1.1271517e-01	-2.3449847e+01	1.0155249e-01	-3.0055602e+01	5.0954850e-03	-1.5198050e+02
-5.8216216e+00	1.4570864e-01	-1.0344160e+01	1.4000295e-01	-1.2981193e+01	1.3264512e-01	-1.7180156e+01	1.2338472e-01	-2.2171313e+01	1.1140632e-01	-2.8673155e+01	6.0581284e-03	-1.3997634e+02
-5.5216216e+00	1.6065604e-01	-9.3999527e+00	1.5414743e-01	-1.2168717e+01	1.4609301e-01	-1.6254183e+01	1.3699551e-01	-2.0494313e+01	1.2513829e-01	-2.6259053e+01	1.0602603e-02	-1.3261679e+02
-5.2216216e+00	1.7495801e-01	-8.7493202e+00	1.6840566e-01	-1.1483332e+01	1.6090427e-01	-1.4445323e+01	1.5033496e-01	-1.8803264e+01	1.3951212e-01	-2.4452797e+01	1.2857891e-02	-9.8717368e+01
-4.9216216e+00	1.9223125e-01	-8.2073506e+00	1.8574226e-01	-1.0448914e+01	1.7687339e-01	-1.3463934e+01	1.6708897e-01	-1.7565333e+01	1.5460427e-01	-2.2980171e+01	1.7315639e-02	-8.9216684e+01
-4.6216216e+00	2.1729994e-01	-7.4405452e+00	2.1054859e-01	-9.4735397e+00	2.0250835e-01	-1.2199192e+01	1.9078315e-01	-1.6324955e+01	1.7791123e-01	-2.0469104e+01	2.9079834e-02	-8.7142741e+01
-4.3216216e+00	2.3938124e-01	-6.9371185e+00	2.3251834e-01	-8.7812314e+00	2.2357167e-01	-1.1441117e+01	2.1339849e-01	-1.4806075e+01	1.9987985e-01	-1.8891213e+01	3.5445851e-02	-7.8154573e+01
-4.0216216e+00	2.6948550e-01	-6.1355823e+00	2.6286501e-01	-7.9450552e+00	2.5370821e-01	-1.0431131e+01	2.4351593e-01	-1.3597223e+01	2.2928549e-01	-1.7866163e+01	4.6426495e-02	-7.5514114e+01
-3.7216216e+00	2.9924424e-01	-5.8673153e+00	2.9203605e-01	-7.4139452e+00	2.8315001e-01	-9.6181826e+00	2.7184221e-01	-1.2540522e+01	2.5734890e-01	-1.6215163e+01	5.8102050e-02	-7.2122298e+01
-3.4216216e+00	3.4650514e-01	-5.0452507e+00	3.3932766e-01	-6.6024163e+00	3.3071487e-01	-8.7008818e+00	3.1689488e-01	-1.1226701e+01	3.0358364e-01	-1.4225110e+01	7.9538396e-02	-6.7838618e+01
-3.1216216e+00	3.8015614e-01	-4.7464127e+00	3.7327095e-01	-6.1296734e+00	3.6357878e-01	-7.7263831e+00	3.5099366e-01	-1.0215158e+01	3.3620446e-01	-1.3450873e+01	9.8959291e-02	-6.6359680e+01
-2.8216216e+00	4.1520020e-01	-4.4540175e+00	4.0897721e-01	-5.6748552e+00	3.9895161e-01	-7.3248211e+00	3.8667224e-01	-9.6488863e+00	3.7152500e-01	-1.2446637e+01	1.1864113e-01	-6.3835240e+01
-2.5216216e+00	4.6524881e-01	-4.0750605e+00	4.5830871e-01	-5.1948662e+00	4.4940785e-01	-6.8081964e+00	4.3625591e-01	-8.7790403e+00	4.1982111e-01	-1.1498449e+01	1.4485606e-01	-6.3363042e+01
-2.2216216e+00	5.0197438e-01	-3.8644293e+00	4.9447854e-01	-4.8960110e+00	4.8468164e-01	-6.3521519e+00	4.7159946e-01	-8.3839703e+00	4.5583396e-01	-1.0869545e+01	1.6389525e-01	-6.1601137e+01
-1.9216216e+00	5.4378808e-01	-3.6081779e+00	5.3655040e-01	-4.5705059e+00	5.2605665e-01	-6.1440574e+00	5.1377116e-01	-7.8305648e+00	4.9812282e-01	-1.0436472e+01	1.8664372e-01	-5.9888550e+01
-1.6216216e+00	5.8918336e-01	-3.3085635e+00	5.8125096e-01	-4.3403411e+00	5.7215037e-01	-5.5910632e+00	5.5825213e-01	-7.4430711e+00	5.4289178e-01	-9.7286036e+00	2.1507711e-01	-5.8459778e+01
-1.3216216e+00	6.2497286e-01	-3.2172394e+00	6.1747439e-01	-4.0479996e+00	6.0704987e-01	-5.5518032e+00	5.9343642e-01	-7.0877165e+00	5.7806026e-01	-9.3867241e+00	2.3806520e-01	-5.7797283e+01
-1.0216216e+00	6.6612632e-01	-3.0454921e+00	6.5791314e-01	-3.8984720e+00	6.4768286e-01	-5.2001973e+00	6.3431344e-01	-6.8188389e+00	6.1808043e-01	-8.9702853e+00	2.5941045e-01	-5.7339946e+01
-7.2162162e-01	6.9594111e-01	-2.9369820e+00	6.8920335e-01	-3.7545908e+00	6.7955806e-01	-5.0120226e+00	6.6561084e-01	-6.5846435e+00	6.4870897e-01	-8.6763031e+00	2.8058560e-01	-5.6732298e+01
-4.2162162e-01	7.1312513e-01	-2.8458848e+00	7.0566538e-01	-3.6927790e+00	6.9534065e-01	-4.9301672e+00	6.8228093e-01	-6.4583501e+00	6.6436604e-01	-8.5387004e+00	2.9027879e-01	-5.6085450e+01
-1.2162162e-01	7.2995235e-01	-2.7737578e+00	7.2228902e-01	-3.6702871e+00	7.1167135e-01	-4.8147992e+00	6.9886300e-01	-6.3112832e+00	6.8218910e-01	-8.3652007e+00	2.9905550e-01	-5.6277032e+01
1.7837838e-01	7.2941412e-01	-2.8382940e+00	7.2131331e-01	-3.6501191e+00	7.1165015e-01	-4.8134993e+00	6.9827764e-01	-6.3143058e+00	6.8232632e-01	-8.5188283e+00	2.9894846e-01	-5.5565164e+01
4.7837838e-01	7.1674203e-01	-2.8657629e+00	7.0914645e-01	-3.6564330e+00	6.9955515e-01	-4.9567670e+00	6.8565883e-01	-6.4943262e+00	6.6922315e-01	-8.5724975e+00	2.9317690e-01	-5.5726144e+01
7.7837838e-01	6.9745764e-01	-2.9116730e+00	6.8979498e-01	-3.7716495e+00	6.8095432e-01	-5.0624794e+00	6.6574369e-01	-6.5543101e+00	6.5011451e-01	-8.7573104e+00	2.7890433e-01	-5.5348337e+01
