21-Sep-2023 18:4:45 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-1.4956456e+01	2.4460688e-02	-5.4564839e+01	1.9291237e-02	-6.8738761e+01	1.3739885e-02	-8.5993912e+01	9.9438024e-03	-1.1491370e+02	4.9936610e-03	-1.4355410e+02	1.4132051e-03	-1.2285871e+02
-1.4656456e+01	2.6049030e-02	-5.2559680e+01	2.0392150e-02	-6.7422193e+01	1.5632277e-02	-8.6370226e+01	1.0500323e-02	-1.0697759e+02	6.5927919e-03	-1.4417937e+02	2.0822952e-03	-1.2222843e+02
-1.4356456e+01	2.6365731e-02	-5.1397652e+01	2.1326401e-02	-6.6375211e+01	1.6110422e-02	-8.1927113e+01	1.0708920e-02	-1.0743509e+02	7.0249669e-03	-1.4001765e+02	9.3994753e-04	-1.5150644e+02
-1.4056456e+01	2.7986775e-02	-5.0920285e+01	2.1736999e-02	-6.5135180e+01	1.6072729e-02	-8.4441692e+01	1.1108810e-02	-1.0691504e+02	7.3737448e-03	-1.4024980e+02	1.8446016e-03	-3.9047377e+01
-1.3756456e+01	2.8273736e-02	-4.9818265e+01	2.2829786e-02	-6.3246283e+01	1.7881314e-02	-8.3003300e+01	1.2775244e-02	-1.0742816e+02	6.3812626e-03	-1.3809130e+02	1.3285986e-03	-1.1721704e+02
-1.3456456e+01	2.9901638e-02	-4.8604495e+01	2.4365313e-02	-6.2674302e+01	1.8417778e-02	-7.8887404e+01	1.2278137e-02	-1.0344121e+02	7.5216466e-03	-1.3109895e+02	2.9148387e-03	-7.6392951e+01
-1.3156456e+01	3.0799491e-02	-4.7448968e+01	2.4852537e-02	-6.1380289e+01	1.9903204e-02	-7.9072727e+01	1.3840164e-02	-1.0065520e+02	8.1120038e-03	-1.2917121e+02	1.4770335e-03	-9.2855006e+01
-1.2856456e+01	3.2065773e-02	-4.6359321e+01	2.6853130e-02	-5.9992475e+01	2.0384483e-02	-7.6255697e+01	1.4573491e-02	-9.7656392e+01	9.8943979e-03	-1.2739164e+02	1.1794690e-03	-1.2160624e+02
-1.2556456e+01	3.3589600e-02	-4.6184405e+01	2.7996877e-02	-5.9398680e+01	2.2216113e-02	-7.5704793e+01	1.5816557e-02	-1.0257209e+02	9.6301901e-03	-1.2760878e+02	1.0067273e-03	-7.5625375e+01
-1.2256456e+01	3.4926461e-02	-4.4601186e+01	2.8331060e-02	-5.7890132e+01	2.2355369e-02	-7.6855099e+01	1.5851726e-02	-9.3947404e+01	9.9448786e-03	-1.2343266e+02	8.3608278e-04	-1.2604348e+02
-1.1956456e+01	3.6201550e-02	-4.4043043e+01	2.9644541e-02	-5.6559395e+01	2.3738148e-02	-7.3945823e+01	1.8054312e-02	-9.4492025e+01	1.0191892e-02	-1.1648926e+02	8.2841493e-04	-1.2154269e+01
-1.1656456e+01	3.8027867e-02	-4.2173607e+01	3.1807220e-02	-5.4994945e+01	2.4226163e-02	-7.1137351e+01	1.8705428e-02	-9.3626259e+01	1.2160900e-02	-1.1513789e+02	1.2156922e-03	-1.0677862e+02
-1.1356456e+01	3.9668461e-02	-4.1840048e+01	3.2987797e-02	-5.3596078e+01	2.5840711e-02	-6.8029316e+01	1.9165505e-02	-8.9292658e+01	1.2549335e-02	-1.1120004e+02	9.5973213e-04	-5.3711758e+01
-1.1056456e+01	4.1499763e-02	-4.0786751e+01	3.4728570e-02	-5.2365593e+01	2.7877900e-02	-6.8328799e+01	2.0525069e-02	-8.6363193e+01	1.3901521e-02	-1.1027146e+02	2.0562059e-03	-5.8134543e+01
-1.0756456e+01	4.3721624e-02	-3.9623236e+01	3.6660996e-02	-5.0783926e+01	2.9234850e-02	-6.4111209e+01	2.1877956e-02	-8.4407321e+01	1.4977887e-02	-1.0841635e+02	7.3790489e-04	-1.4052281e+02
-1.0456456e+01	4.5364392e-02	-3.8440932e+01	3.8203050e-02	-4.9666043e+01	3.0998987e-02	-6.5122708e+01	2.3030716e-02	-8.0221865e+01	1.5515528e-02	-1.0672333e+02	1.0009076e-03	1.3390834e+01
-1.0156456e+01	4.8500567e-02	-3.7067894e+01	4.1402823e-02	-4.7792095e+01	3.3549148e-02	-6.2448358e+01	2.6074019e-02	-8.0226704e+01	1.7548202e-02	-1.0063629e+02	1.0695842e-03	1.4698506e+00
-9.8564565e+00	5.1306992e-02	-3.5997086e+01	4.3822187e-02	-4.5925621e+01	3.5780352e-02	-5.8123700e+01	2.7042609e-02	-7.5798714e+01	1.9180352e-02	-9.8866753e+01	2.1270198e-03	-1.0687162e+02
-9.5564565e+00	5.2635993e-02	-3.5031838e+01	4.5290871e-02	-4.5360972e+01	3.7619673e-02	-5.9599096e+01	2.8821264e-02	-7.4269017e+01	2.0192014e-02	-9.4917965e+01	8.9203291e-04	-3.4844762e+01
