21-Sep-2023 18:8:57 PM  Sample temp: 296 K  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	7.3237942e-01	-1.2794879e+00
6.3852298e+04	7.3676610e-01	-1.3527003e+00
7.2157221e+04	7.3324063e-01	-1.4583537e+00
8.1542320e+04	7.2778960e-01	-1.5262189e+00
9.2148088e+04	7.2733688e-01	-1.6165640e+00
1.0413329e+05	7.3053163e-01	-1.6760304e+00
1.1767734e+05	7.2299003e-01	-1.7988252e+00
1.3298300e+05	7.2425159e-01	-1.8942384e+00
1.5027938e+05	7.2147396e-01	-2.0080555e+00
1.6982540e+05	7.2120295e-01	-2.1062556e+00
1.9191367e+05	7.1947961e-01	-2.2311613e+00
2.1687485e+05	7.1928621e-01	-2.3761262e+00
2.4508258e+05	7.1682533e-01	-2.5893095e+00
2.7695915e+05	7.1273160e-01	-2.7865513e+00
3.1298173e+05	7.1259947e-01	-2.9514943e+00
3.5368956e+05	7.1047288e-01	-3.0783613e+00
3.9969205e+05	7.0522867e-01	-3.2786357e+00
4.5167783e+05	7.0566666e-01	-3.5055139e+00
5.1042512e+05	7.0379599e-01	-3.7390138e+00
5.7681335e+05	7.0232182e-01	-4.0205268e+00
6.5183634e+05	6.9923905e-01	-4.2967920e+00
7.3661717e+05	6.9446549e-01	-4.6503177e+00
8.3242498e+05	6.9361265e-01	-4.9601516e+00
9.4069399e+05	6.8944306e-01	-5.3680832e+00
1.0630450e+06	6.8643442e-01	-5.8062910e+00
1.2013095e+06	6.8316465e-01	-6.2601021e+00
1.3575573e+06	6.7838804e-01	-6.7590591e+00
1.5341274e+06	6.7430957e-01	-7.3093516e+00
1.7336631e+06	6.7004844e-01	-7.8908847e+00
1.9591512e+06	6.6587031e-01	-8.5215494e+00
2.2139674e+06	6.6079342e-01	-9.1908122e+00
2.5019262e+06	6.5496665e-01	-9.9696809e+00
2.8273382e+06	6.4810719e-01	-1.0764849e+01
3.1950747e+06	6.4135220e-01	-1.1641351e+01
3.6106408e+06	6.3554153e-01	-1.2611388e+01
4.0802573e+06	6.2814481e-01	-1.3643934e+01
4.6109543e+06	6.2021920e-01	-1.4769348e+01
5.2106761e+06	6.1090180e-01	-1.5978405e+01
5.8884005e+06	6.0096536e-01	-1.7232615e+01
6.6542729e+06	5.9198887e-01	-1.8517137e+01
7.5197582e+06	5.8142995e-01	-1.9993166e+01
8.4978124e+06	5.6752802e-01	-4.0626298e+01
9.6030769e+06	5.5377116e-01	-4.1373126e+01
1.0852097e+07	5.3917417e-01	-4.4162180e+01
1.2263571e+07	5.2560584e-01	-2.7043933e+01
1.3858627e+07	5.0950595e-01	-2.9032320e+01
1.5661143e+07	4.9439114e-01	-3.1050837e+01
1.7698103e+07	4.7781978e-01	-3.3248798e+01
2.0000000e+07	4.6035963e-01	-3.5798307e+01
