17-Jul-2024 9:7:45 PM  Sample temp: 296 K  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.9221777e+03	4.3179777e-01	3.1957842e+00
7.0144377e+03	4.3445574e-01	3.6618029e+00
8.3081492e+03	4.3696551e-01	4.1527581e+00
9.8404672e+03	4.4660345e-01	4.2001468e+00
1.1655399e+04	4.4874552e-01	4.5519650e+00
1.3805069e+04	4.5447483e-01	4.7530968e+00
1.6351214e+04	4.6360755e-01	4.9478310e+00
1.9366959e+04	4.6603617e-01	5.1318701e+00
2.2938914e+04	4.7286543e-01	5.1994124e+00
2.7169665e+04	4.8325453e-01	5.1993050e+00
3.2180717e+04	4.9375195e-01	5.0564684e+00
3.8115985e+04	5.0075756e-01	4.8851128e+00
4.5145927e+04	5.0537770e-01	4.6852131e+00
5.3472440e+04	5.0693589e-01	4.3606717e+00
6.3334658e+04	5.1676252e-01	3.9010637e+00
7.5015820e+04	5.1965159e-01	3.4407893e+00
8.8851402e+04	5.1917280e-01	2.9813677e+00
1.0523876e+05	5.2420192e-01	2.3789004e+00
1.2464853e+05	5.2663305e-01	1.8128604e+00
1.4763814e+05	5.3683313e-01	1.3329576e+00
1.7486786e+05	5.4471248e-01	8.3220625e-01
2.0711971e+05	5.3553488e-01	3.9012422e-01
2.4531994e+05	5.3234683e-01	-1.2241371e-01
2.9056566e+05	5.2856668e-01	-7.0884026e-01
3.4415629e+05	5.2934792e-01	-1.1438029e+00
4.0763094e+05	5.3650256e-01	-1.6985424e+00
4.8281257e+05	5.3000779e-01	-2.2026106e+00
5.7186037e+05	5.2766949e-01	-2.7617645e+00
6.7733174e+05	5.2709422e-01	-3.2991078e+00
8.0225578e+05	5.2548913e-01	-3.8159193e+00
9.5022026e+05	5.2185215e-01	-4.4949064e+00
1.1254746e+06	5.2109248e-01	-5.2265352e+00
1.3330522e+06	5.1639735e-01	-6.0192763e+00
1.5789143e+06	5.1454524e-01	-6.7959699e+00
1.8701223e+06	5.1182256e-01	-7.7807015e+00
2.2150393e+06	5.0542642e-01	-8.7485034e+00
2.6235712e+06	4.9714762e-01	-9.8546205e+00
3.1074510e+06	4.9172640e-01	-1.1119196e+01
3.6805753e+06	4.7888139e-01	-1.2460786e+01
4.3594042e+06	4.7369435e-01	-1.3909680e+01
5.1634333e+06	4.6171409e-01	-1.5488647e+01
6.1157538e+06	4.5250692e-01	-1.7300330e+01
7.2437162e+06	4.4387238e-01	-1.9322598e+01
8.5797148e+06	4.2999413e-01	-2.1484830e+01
1.0162119e+07	4.1916098e-01	-2.3857075e+01
1.2036375e+07	4.0394322e-01	-2.6509278e+01
1.4256310e+07	3.9129533e-01	-2.9335160e+01
1.6885680e+07	3.6848906e-01	-3.2275054e+01
2.0000000e+07	3.5035713e-01	-3.5596484e+01
