17-Jul-2024 9:8:55 PM  Sample temp: 296 K  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.9221777e+03	4.4589768e-01	2.8156422e+00
7.0144377e+03	4.4530680e-01	3.2129535e+00
8.3081492e+03	4.4997805e-01	3.6367338e+00
9.8404672e+03	4.5825141e-01	3.8055238e+00
1.1655399e+04	4.5972526e-01	4.1489423e+00
1.3805069e+04	4.5870518e-01	4.4604281e+00
1.6351214e+04	4.6760448e-01	4.6528550e+00
1.9366959e+04	4.7541205e-01	4.7657131e+00
2.2938914e+04	4.8171234e-01	4.8369347e+00
2.7169665e+04	4.8623515e-01	4.8003170e+00
3.2180717e+04	4.9555794e-01	4.7041529e+00
3.8115985e+04	5.0317654e-01	4.5311100e+00
4.5145927e+04	5.0593973e-01	4.3340621e+00
5.3472440e+04	5.1171562e-01	3.9792717e+00
6.3334658e+04	5.1909763e-01	3.5134489e+00
7.5015820e+04	5.1763652e-01	3.1198935e+00
8.8851402e+04	5.2782078e-01	2.5953139e+00
1.0523876e+05	5.2829993e-01	2.1378628e+00
1.2464853e+05	5.3701265e-01	1.5879955e+00
1.4763814e+05	5.3820474e-01	1.0962738e+00
1.7486786e+05	5.3554652e-01	6.5382407e-01
2.0711971e+05	5.3500300e-01	1.4765784e-01
2.4531994e+05	5.3184244e-01	-3.5237022e-01
2.9056566e+05	5.3364318e-01	-7.9416615e-01
3.4415629e+05	5.3451538e-01	-1.5752648e+00
4.0763094e+05	5.3550524e-01	-1.8661428e+00
4.8281257e+05	5.3428385e-01	-2.3891866e+00
5.7186037e+05	5.2907603e-01	-2.9368841e+00
6.7733174e+05	5.2401611e-01	-3.4936030e+00
8.0225578e+05	5.2407668e-01	-4.0722733e+00
9.5022026e+05	5.2282127e-01	-4.6939361e+00
1.1254746e+06	5.2001915e-01	-5.4232874e+00
1.3330522e+06	5.1520088e-01	-6.1728614e+00
1.5789143e+06	5.1524924e-01	-7.0188922e+00
1.8701223e+06	5.0917446e-01	-7.9415485e+00
2.2150393e+06	5.0462542e-01	-8.9516745e+00
2.6235712e+06	4.9622536e-01	-1.0097345e+01
3.1074510e+06	4.9264322e-01	-1.1252361e+01
3.6805753e+06	4.8335224e-01	-1.2629258e+01
4.3594042e+06	4.7848007e-01	-1.4118179e+01
5.1634333e+06	4.6955787e-01	-1.5594630e+01
6.1157538e+06	4.5629279e-01	-1.7462729e+01
7.2437162e+06	4.4744614e-01	-1.9437290e+01
8.5797148e+06	4.3418101e-01	-2.1669893e+01
1.0162119e+07	4.2125486e-01	-2.4044354e+01
1.2036375e+07	4.0746544e-01	-2.6603594e+01
1.4256310e+07	3.8722173e-01	-2.9439139e+01
1.6885680e+07	3.7159520e-01	-3.2343703e+01
2.0000000e+07	3.5214311e-01	-3.5753968e+01
