Synthetic FDTR benchmark
Frequency (Hz)	R (normalized)	Theta (degree)
5.0000000e+04	1.0000000e+00	-1.9610205e+01
5.3939569e+04	9.8388600e-01	-1.9929303e+01
5.8189542e+04	9.6777598e-01	-2.0251745e+01
6.2774377e+04	9.5167612e-01	-2.0577578e+01
6.7720457e+04	9.3559257e-01	-2.0906855e+01
7.3056245e+04	9.1953148e-01	-2.1239633e+01
7.8812447e+04	9.0349894e-01	-2.1575975e+01
8.5022189e+04	8.8750101e-01	-2.1915950e+01
9.1721205e+04	8.7154370e-01	-2.2259631e+01
9.8948045e+04	8.5563292e-01	-2.2607099e+01
1.0674430e+05	8.3977455e-01	-2.2958441e+01
1.1515483e+05	8.2397434e-01	-2.3313750e+01
1.2422804e+05	8.0823798e-01	-2.3673125e+01
1.3401614e+05	7.9257104e-01	-2.4036672e+01
1.4457545e+05	7.7697897e-01	-2.4404504e+01
1.5596675e+05	7.6146712e-01	-2.4776741e+01
1.6825559e+05	7.4604069e-01	-2.5153508e+01
1.8151268e+05	7.3070478e-01	-2.5534939e+01
1.9581431e+05	7.1546434e-01	-2.5921171e+01
2.1124279e+05	7.0032417e-01	-2.6312351e+01
2.2788690e+05	6.8528894e-01	-2.6708629e+01
2.4584243e+05	6.7036317e-01	-2.7110161e+01
2.6521269e+05	6.5555124e-01	-2.7517111e+01
2.8610917e+05	6.4085736e-01	-2.7929644e+01
3.0865210e+05	6.2628563e-01	-2.8347933e+01
3.3297123e+05	6.1183997e-01	-2.8772153e+01
3.5920649e+05	5.9752418e-01	-2.9202483e+01
3.8750887e+05	5.8334189e-01	-2.9639106e+01
4.1804123e+05	5.6929662e-01	-3.0082207e+01
4.5097927e+05	5.5539172e-01	-3.0531971e+01
4.8651255e+05	5.4163045e-01	-3.0988588e+01
5.2484555e+05	5.2801589e-01	-3.1452243e+01
5.6619886e+05	5.1455104e-01	-3.1923127e+01
6.1081045e+05	5.0123875e-01	-3.2401424e+01
6.5893705e+05	4.8808178e-01	-3.2887319e+01
7.1085561e+05	4.7508274e-01	-3.3380995e+01
7.6686490e+05	4.6224418e-01	-3.3882628e+01
8.2728725e+05	4.4956851e-01	-3.4392391e+01
8.9247035e+05	4.3705807e-01	-3.4910450e+01
9.6278932e+05	4.2471510e-01	-3.5436965e+01
1.0386488e+06	4.1254175e-01	-3.5972087e+01
1.1204854e+06	4.0054009e-01	-3.6515957e+01
1.2087700e+06	3.8871211e-01	-3.7068706e+01
1.3040107e+06	3.7705975e-01	-3.7630450e+01
1.4067555e+06	3.6558483e-01	-3.8201296e+01
1.5175957e+06	3.5428916e-01	-3.8781330e+01
1.6371691e+06	3.4317445e-01	-3.9370626e+01
1.7661639e+06	3.3224235e-01	-3.9969237e+01
1.9053224e+06	3.2149449e-01	-4.0577197e+01
2.0554454e+06	3.1093239e-01	-4.1194518e+01
2.2173968e+06	3.0055755e-01	-4.1821187e+01
2.3921086e+06	2.9037140e-01	-4.2457168e+01
2.5805861e+06	2.8037533e-01	-4.3102397e+01
2.7839140e+06	2.7057067e-01	-4.3756783e+01
3.0032625e+06	2.6095868e-01	-4.4420201e+01
3.2398937e+06	2.5154056e-01	-4.5092498e+01
3.4951694e+06	2.4231748e-01	-4.5773486e+01
3.7705586e+06	2.3329051e-01	-4.6462942e+01
4.0676461e+06	2.2446066e-01	-4.7160605e+01
4.3881416e+06	2.1582887e-01	-4.7866180e+01
4.7338893e+06	2.0739598e-01	-4.8579330e+01
5.1068790e+06	1.9916277e-01	-4.9299680e+01
5.5092570e+06	1.9112989e-01	-5.0026816e+01
5.9433390e+06	1.8329790e-01	-5.0760281e+01
6.4116229e+06	1.7566725e-01	-5.1499580e+01
6.9168035e+06	1.6823825e-01	-5.2244175e+01
7.4617880e+06	1.6101108e-01	-5.2993491e+01
8.0497126e+06	1.5398578e-01	-5.3746912e+01
8.6839606e+06	1.4716222e-01	-5.4503786e+01
9.3681819e+06	1.4054010e-01	-5.5263424e+01
1.0106314e+07	1.3411895e-01	-5.6025102e+01
1.0902604e+07	1.2789810e-01	-5.6788069e+01
1.1761636e+07	1.2187669e-01	-5.7551541e+01
1.2688351e+07	1.1605364e-01	-5.8314710e+01
1.3688084e+07	1.1042765e-01	-5.9076747e+01
1.4766587e+07	1.0499721e-01	-5.9836806e+01
1.5930067e+07	9.9760544e-02	-6.0594024e+01
1.7185219e+07	9.4715683e-02	-6.1347531e+01
1.8539266e+07	8.9860393e-02	-6.2096452e+01
2.0000000e+07	8.5192210e-02	-6.2839909e+01
